customer_id,name,dob,kyc_status,risk_rating
1,Customer_1,1979-12-28,Valid,High
2,Customer_2,1994-09-04,Valid,Low
3,Customer_3,1982-07-09,Pending,Low
4,Customer_4,2018-12-05,Valid,High
5,Customer_5,2007-11-08,Valid,Low
6,Customer_6,1978-05-29,Valid,Low
7,Customer_7,2015-05-04,Pending,Low
8,Customer_8,1987-11-03,Pending,High
9,Customer_9,2018-11-21,Expired,Low
10,Customer_10,2010-04-20,Pending,Medium
11,Customer_11,1970-08-01,Valid,High
12,Customer_12,2007-12-01,Expired,Medium
13,Customer_13,1983-12-13,Valid,Medium
14,Customer_14,1979-03-04,Valid,Medium
15,Customer_15,1978-09-05,Expired,Medium
16,Customer_16,1993-09-24,Valid,High
17,Customer_17,2011-03-21,Pending,Low
18,Customer_18,2003-12-17,Valid,High
19,Customer_19,1996-04-20,Pending,High
20,Customer_20,2002-06-12,Pending,Low
